Dataset,Epochs,Attention Type,Optimizer,Window Size,GPU Memory Usage,Training Time,samples/sec,test_loss,Test Accuracy,path_to_train_results,path_to_val_results,Test Error,"Cost Function (0.25, 0.75)","Cost Function (0.5, 0.5)","Cost Function (0.75, 0.25)"
imdb,5,sliding,AdamW,64,0.1481940509915015,988.0973,88.554,0.48742225766181946,0.7527296082209376,results\imdb-epochs_5\sliding\adamw\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_64\val_losses.csv,0.2472703917790624,0.22250130658217218,0.19773222138528196,0.17296313618839174
imdb,5,sliding,SGD,128,0.17174220963172815,1171.6705,74.68,0.6289680600166321,0.16441875401412975,results\imdb-epochs_5\sliding\sgd\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_128\val_losses.csv,0.8355812459858702,0.6696214868973347,0.5036617278087991,0.3377019687202637
imdb,5,sliding,SGD,16,0.05825070821529754,811.9467,107.766,0.6578410267829895,0.0,results\imdb-epochs_5\sliding\sgd\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_16\val_losses.csv,1.0,0.7645626770538244,0.5291253541076488,0.29368803116147313
imdb,5,sliding,SGD,256,0.33746458923512745,1570.3866,55.719,0.6012707948684692,0.2654677799186471,results\imdb-epochs_5\sliding\sgd\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_256\val_losses.csv,0.7345322200813529,0.6352653123697966,0.5359984046582402,0.4367314969466838
imdb,5,sliding,SGD,32,0.0823300283286118,864.0625,101.266,0.6484395861625671,0.07064868336544672,results\imdb-epochs_5\sliding\sgd\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_32\val_losses.csv,0.9293513166345533,0.7175959945580679,0.5058406724815825,0.2940853504050972
imdb,5,sliding,SGD,512,0.874114730878187,2265.282,38.627,0.5784481167793274,0.3568828944551492,results\imdb-epochs_5\sliding\sgd\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_512\val_losses.csv,0.6431171055448508,0.7008665118781848,0.7586159182115189,0.816365324544853
imdb,5,sliding,SGD,64,0.15226628895184147,974.8639,89.756,0.6350600719451904,0.1286662384928281,results\imdb-epochs_5\sliding\sgd\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding\sgd\att_win_size_64\val_losses.csv,0.8713337615071719,0.6915668933683393,0.5118000252295067,0.33203315709067405
imdb,5,sliding + sparse,Adam,128,0.3921742209631728,1514.0412,57.792,0.3608022630214691,0.976236351958895,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_128\val_losses.csv,0.02376364804110498,0.11586629127162193,0.20796893450213888,0.3000715777326558
imdb,5,sliding + sparse,Adam,16,0.18962464589235128,1177.9503,74.282,0.3702627718448639,0.991008349389852,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_16\val_losses.csv,0.00899165061014795,0.054149899430698784,0.09930814825124962,0.14446639707180045
imdb,5,sliding + sparse,Adam,256,0.5502832861189803,1940.9624,45.081,0.3745521903038025,0.9633911368015413,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_256\val_losses.csv,0.036608863198458685,0.16502746892858908,0.29344607465871947,0.42186468038884983
imdb,5,sliding + sparse,Adam,32,0.21954674220963166,1205.95,72.557,0.3931675851345062,0.9670306144294583,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_32\val_losses.csv,0.03296938557054174,0.07961372473031422,0.1262580638900867,0.17290240304985918
